# timestamp(s) wx wy wz ax ay az
1430533170.110278130 9.555486906 -11.785253169 -0.822437150 -8.119661129 2.336367634 -4.931245242
1430533170.120278120 8.839018260 -11.899951483 -1.151694720 -8.793714557 1.542798419 -4.226539043
1430533170.130278111 7.387174758 -11.664646773 -1.630326525 -9.407141230 0.908801300 -3.368200688
1430533170.140278339 5.364755777 -11.098119297 -2.165053954 -9.838008882 0.440512424 -2.277642527
1430533170.150278091 2.944418575 -10.233725716 -2.664795595 -10.068536455 0.053483448 -1.289951091
1430533170.160278082 0.298850989 -9.103976270 -3.020209268 -10.172906756 -0.252747408 -0.312066111
1430533170.170278072 -2.380196104 -7.769603576 -3.147316199 -10.142325526 -0.500332043 0.495987645
1430533170.180278301 -4.915556532 -6.308970787 -2.988120313 -10.009251544 -0.754143606 1.173832920
1430533170.190278053 -7.122645131 -4.817867966 -2.530378163 -9.905151448 -0.880140541 1.653941391
1430533170.200278044 -8.842884089 -3.401001472 -1.831870758 -9.736628618 -0.950250677 1.935065784
1430533170.210278034 -9.916908955 -2.122383273 -0.996267144 -9.600301982 -0.918027771 2.095182038
1430533170.220278263 -10.248124733 -1.012591786 -0.171085100 -9.493436326 -0.853961238 2.180462062
1430533170.230278254 -9.919315621 -0.066250345 0.570383019 -9.383981418 -0.760894856 2.161703027
1430533170.240278006 -9.068326107 0.738258631 1.159585887 -9.374291465 -0.737393585 2.128299551
1430533170.250278234 -7.852485716 1.414281194 1.587242220 -9.328731413 -0.712933636 1.945180156
1430533170.260278225 -6.404014956 1.971867121 1.851276773 -9.299136322 -0.712630933 1.665184490
1430533170.270278215 -4.863911387 2.402755931 1.980754217 -9.352482311 -0.726991072 1.351983959
1430533170.280277967 -3.360430613 2.693952752 1.998824233 -9.343025728 -0.811073610 0.912038962
1430533170.290278196 -2.035346014 2.832060876 1.932381853 -9.444087915 -0.898136224 0.418307918
1430533170.300278187 -1.021336298 2.803463788 1.806881998 -9.429487796 -1.060202164 -0.178257794
1430533170.310278177 -0.465628850 2.601965753 1.620687486 -9.419196030 -1.278951383 -0.788834134
1430533170.320277929 -0.475257560 2.236958081 1.365516071 -9.460003668 -1.609350645 -1.425800567
1430533170.330278158 -0.999323305 1.735205239 1.046089551 -9.437002919 -1.834369347 -1.905532168
1430533170.340278387 -1.923958664 1.149017489 0.666408610 -9.518509845 -1.995671946 -2.246708563
1430533170.350278139 -3.126432282 0.512763570 0.244690142 -9.503939342 -2.076447806 -2.479511259
1430533170.360278130 -4.497259925 -0.129825244 -0.211827652 -9.452607383 -2.117310395 -2.543427648
1430533170.370278120 -5.919911587 -0.737222664 -0.672546993 -9.499509436 -2.106181889 -2.532114444
1430533170.380278349 -7.279005530 -1.274165087 -1.107655316 -9.517723633 -2.066099866 -2.379331459
1430533170.390278101 -8.471778363 -1.696475125 -1.487218161 -9.558735398 -2.012829618 -2.076342575
1430533170.400278091 -9.384439411 -1.974226391 -1.761584793 -9.614526826 -2.007850076 -1.649017945
1430533170.410278082 -9.901370447 -2.076083841 -1.891586833 -9.582562383 -2.021687948 -1.101582430
1430533170.420278311 -9.937762575 -1.997910885 -1.833506302 -9.573831916 -2.105644975 -0.546480582
1430533170.430278063 -9.524941737 -1.753595526 -1.608927405 -9.501134027 -2.296599577 -0.109117593
1430533170.440278053 -8.766261932 -1.380947383 -1.250266040 -9.465659071 -2.508605248 0.123962062
1430533170.450278044 -7.748929852 -0.931057771 -0.797918141 -9.446954084 -2.727693551 0.109613527
1430533170.460278273 -6.566179395 -0.454221408 -0.293290498 -9.422231701 -2.795703615 0.011608305
1430533170.470278263 -5.314372769 0.022987021 0.227737918 -9.445886338 -2.772360192 -0.234896557
1430533170.480278015 -4.085728916 0.451654715 0.734631710 -9.491945279 -2.572613103 -0.596939034
1430533170.490278244 -2.977562021 0.793200493 1.184156177 -9.511705750 -2.269829395 -1.081859373
1430533170.500278234 -2.094547822 1.032888893 1.539244346 -9.560172917 -1.807173064 -1.673905461
1430533170.510278225 -1.530675001 1.144195291 1.753412405 -9.665595389 -1.282258103 -2.336517496
1430533170.520277977 -1.373830511 1.127490980 1.785377291 -9.623877404 -0.646904156 -3.061180373
1430533170.530278206 -1.591027385 1.000704854 1.651922456 -9.608124497 -0.129973826 -3.691962157
